Country,CustomerName,DealCategory,Order Year,Products,SalesCategory,OrderDate,Sales (bin),Ordernumber,Sales,Addressline1,Addressline2,City,Contactfirstname,Contactlastname,Customer,CustomerGroup,CustomerName (copy),Date,DealSize,Month,Month ,Msrp,Order Quarter,Orderlinenumber,OrderQuantity,Phone,Postalcode,Productcode,Quarter,Quarter (Sheet11),State,Status,Territory,UnitPrice,Year,Year (Sheet11),ZeroIfNull-OrderQuantity
US,Land of Toys Inc.,Small,2003,Motorcycles,Motorcycles,2/24/2003,$0.00M,10107,$0.00M,897 Long Airport Avenue,,NYC,Kwai,Yu,Land of Toys Inc.,1,Land of Toys Inc.,2/24/2003,Small,February,2,95,Q1,2,30,2125557818,10022,S10_1678,1,Q1,NY,Shipped,NA,95.7,2003,2003,30
France,Reims Collectables,Small,2003,Motorcycles,Motorcycles,5/7/2003,$0.00M,10121,$0.00M,59 rue de l'Abbaye,,Reims,Paul,Henriot,Reims Collectables,1,Reims Collectables,5/7/2003,Small,May,5,95,Q2,5,34,26.47.1555,51100,S10_1678,2,Q2,,Shipped,EMEA,81.35,2003,2003,34
France,Lyon Souveniers,Medium,2003,Motorcycles,Motorcycles,7/1/2003,$0.00M,10134,$0.00M,27 rue du Colonel Pierre Avia,,Paris,Daniel,Da Cunha,Lyon Souveniers,1,Lyon Souveniers,7/1/2003,Medium,July,7,95,Q3,2,41,+33 1 46 62 7555,75508,S10_1678,3,Q3,,Shipped,EMEA,94.74,2003,2003,41
US,Toys4GrownUps.com,Medium,2003,Motorcycles,Motorcycles,8/25/2003,$0.00M,10145,$0.00M,78934 Hillside Dr.,,Pasadena,Julie,Young,Toys4GrownUps.com,1,Toys4GrownUps.com,8/25/2003,Medium,August,8,95,Q3,6,45,6265557265,90003,S10_1678,3,Q3,CA,Shipped,NA,83.26,2003,2003,45
US,Corporate Gift Ideas Co.,Medium,2003,Motorcycles,Motorcycles,10/10/2003,$0.01M,10159,$0.01M,7734 Strong St.,,San Francisco,Julie,Brown,Corporate Gift Ideas Co.,1,Corporate Gift Ideas Co.,10/10/2003,Medium,October,10,95,Q4,14,49,6505551386,,S10_1678,4,Q4,CA,Shipped,NA,100,2003,2003,49
US,Technics Stores Inc.,Medium,2003,Motorcycles,Motorcycles,10/28/2003,$0.00M,10168,$0.00M,9408 Furth Circle,,Burlingame,Juri,Hirano,Technics Stores Inc.,1,Technics Stores Inc.,10/28/2003,Medium,October,10,95,Q4,1,36,6505556809,94217,S10_1678,4,Q4,CA,Shipped,NA,96.66,2003,2003,36
France,Daedalus Designs Imports,Small,2003,Motorcycles,Motorcycles,11/11/2003,$0.00M,10180,$0.00M,"184, chausse de Tournai",,Lille,Martine,Rance,Daedalus Designs Imports,1,Daedalus Designs Imports,11/11/2003,Small,November,11,95,Q4,9,29,20.16.1555,59000,S10_1678,4,Q4,,Shipped,EMEA,86.13,2003,2003,29
Norway,Herkku Gifts,Medium,2003,Motorcycles,Motorcycles,11/18/2003,$0.01M,10188,$0.01M,"Drammen 121, PR 744 Sentrum",,Bergen,Veysel,Oeztan,Herkku Gifts,1,Herkku Gifts,11/18/2003,Medium,November,11,95,Q4,1,48,+47 2267 3215,N 5804,S10_1678,4,Q4,,Shipped,EMEA,100,2003,2003,48
US,Mini Wheels Co.,Small,2003,Motorcycles,Motorcycles,12/1/2003,$0.00M,10201,$0.00M,5557 North Pendale Street,,San Francisco,Julie,Murphy,Mini Wheels Co.,1,Mini Wheels Co.,12/1/2003,Small,December,12,95,Q4,2,22,6505555787,,S10_1678,4,Q4,CA,Shipped,NA,98.57,2003,2003,22
France,Auto Canal Petit,Medium,2004,Motorcycles,Motorcycles,1/15/2004,$0.00M,10211,$0.00M,"25, rue Lauriston",,Paris,Dominique,Perrier,Auto Canal Petit,1,Auto Canal Petit,1/15/2004,Medium,January,1,95,Q1,14,41,(1) 47.55.6555,75016,S10_1678,1,Q1,,Shipped,EMEA,100,2004,2004,41
Australia,"Australian Collectors, Co.",Medium,2004,Motorcycles,Motorcycles,2/20/2004,$0.00M,10223,$0.00M,636 St Kilda Road,Level 3,Melbourne,Peter,Ferguson,"Australian Collectors, Co.",1,"Australian Collectors, Co.",2/20/2004,Medium,February,2,95,Q1,1,37,03 9520 4555,3004,S10_1678,1,Q1,Victoria,Shipped,APAC,100,2004,2004,37
US,Vitachrome Inc.,Small,2004,Motorcycles,Motorcycles,4/5/2004,$0.00M,10237,$0.00M,2678 Kingston Rd.,Suite 101,NYC,Michael,Frick,Vitachrome Inc.,1,Vitachrome Inc.,4/5/2004,Small,April,4,95,Q2,7,23,2125551500,10022,S10_1678,2,Q2,NY,Shipped,NA,100,2004,2004,23
US,Tekni Collectables Inc.,Medium,2004,Motorcycles,Motorcycles,5/18/2004,$0.00M,10251,$0.00M,7476 Moss Rd.,,Newark,William,Brown,Tekni Collectables Inc.,1,Tekni Collectables Inc.,5/18/2004,Medium,May,5,95,Q2,2,28,2015559350,94019,S10_1678,2,Q2,NJ,Shipped,NA,100,2004,2004,28
US,Gift Depot Inc.,Medium,2004,Motorcycles,Motorcycles,6/28/2004,$0.00M,10263,$0.00M,25593 South Bay Ln.,,Bridgewater,Julie,King,Gift Depot Inc.,1,Gift Depot Inc.,6/28/2004,Medium,June,6,95,Q2,2,34,2035552570,97562,S10_1678,2,Q2,CT,Shipped,NA,100,2004,2004,34
France,La Rochelle Gifts,Medium,2004,Motorcycles,Motorcycles,7/23/2004,$0.00M,10275,$0.00M,"67, rue des Cinquante Otages",,Nantes,Janine,Labrune,La Rochelle Gifts,1,La Rochelle Gifts,7/23/2004,Medium,July,7,95,Q3,1,45,40.67.8555,44000,S10_1678,3,Q3,,Shipped,EMEA,92.83,2004,2004,45
US,Marta's Replicas Co.,Medium,2004,Motorcycles,Motorcycles,8/27/2004,$0.00M,10285,$0.00M,39323 Spinnaker Dr.,,Cambridge,Marta,Hernandez,Marta's Replicas Co.,1,Marta's Replicas Co.,8/27/2004,Medium,August,8,95,Q3,6,36,6175558555,51247,S10_1678,3,Q3,MA,Shipped,NA,100,2004,2004,36
Finland,"Toys of Finland, Co.",Small,2004,Motorcycles,Motorcycles,9/30/2004,$0.00M,10299,$0.00M,Keskuskatu 45,,Helsinki,Matti,Karttunen,"Toys of Finland, Co.",1,"Toys of Finland, Co.",9/30/2004,Small,September,9,95,Q3,9,23,90-224 8555,21240,S10_1678,3,Q3,,Shipped,EMEA,100,2004,2004,23
Norway,Baane Mini Imports,Medium,2004,Motorcycles,Motorcycles,10/15/2004,$0.00M,10309,$0.00M,Erling Skakkes gate 78,,Stavern,Jonas,Bergulfsen,Baane Mini Imports,1,Baane Mini Imports,10/15/2004,Medium,October,10,95,Q4,5,41,07-98 9555,4110,S10_1678,4,Q4,,Shipped,EMEA,100,2004,2004,41
US,Diecast Classics Inc.,Medium,2004,Motorcycles,Motorcycles,11/2/2004,$0.00M,10318,$0.00M,7586 Pompton St.,,Allentown,Kyung,Yu,Diecast Classics Inc.,1,Diecast Classics Inc.,11/2/2004,Medium,November,11,95,Q4,1,46,2155551555,70267,S10_1678,4,Q4,PA,Shipped,NA,94.74,2004,2004,46
US,Land of Toys Inc.,Medium,2004,Motorcycles,Motorcycles,11/15/2004,$0.00M,10329,$0.00M,897 Long Airport Avenue,,NYC,Kwai,Yu,Land of Toys Inc.,1,Land of Toys Inc.,11/15/2004,Medium,November,11,95,Q4,1,42,2125557818,10022,S10_1678,4,Q4,NY,Shipped,NA,100,2004,2004,42
Austria,Salzburg Collectables,Large,2004,Motorcycles,Motorcycles,11/24/2004,$0.01M,10341,$0.01M,Geislweg 14,,Salzburg,Georg,Pipps,Salzburg Collectables,1,Salzburg Collectables,11/24/2004,Large,November,11,95,Q4,9,41,6562-9555,5020,S10_1678,4,Q4,,Shipped,EMEA,100,2004,2004,41
Australia,Souveniers And Things Co.,Small,2004,Motorcycles,Motorcycles,12/17/2004,$0.00M,10361,$0.00M,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,Adrian,Huxley,Souveniers And Things Co.,1,Souveniers And Things Co.,12/17/2004,Small,December,12,95,Q4,13,20,+61 2 9495 8555,2067,S10_1678,4,Q4,NSW,Shipped,APAC,72.55,2004,2004,20
France,La Rochelle Gifts,Small,2005,Motorcycles,Motorcycles,2/3/2005,$0.00M,10375,$0.00M,"67, rue des Cinquante Otages",,Nantes,Janine,Labrune,La Rochelle Gifts,1,La Rochelle Gifts,2/3/2005,Small,February,2,95,Q1,12,21,40.67.8555,44000,S10_1678,1,Q1,,Shipped,EMEA,34.91,2005,2005,21
US,FunGiftIdeas.com,Medium,2005,Motorcycles,Motorcycles,3/3/2005,$0.00M,10388,$0.00M,1785 First Street,,New Bedford,Violeta,Benitez,FunGiftIdeas.com,1,FunGiftIdeas.com,3/3/2005,Medium,March,3,95,Q1,4,42,5085552555,50553,S10_1678,1,Q1,MA,Shipped,NA,76.36,2005,2005,42
UK,"UK Collectables, Ltd.",Small,2005,Motorcycles,Motorcycles,4/8/2005,$0.00M,10403,$0.00M,Berkeley Gardens 12  Brewery,,Liverpool,Elizabeth,Devon,"UK Collectables, Ltd.",1,"UK Collectables, Ltd.",4/8/2005,Small,April,4,95,Q2,7,24,(171) 555-2282,WX1 6LT,S10_1678,2,Q2,,Shipped,EMEA,100,2005,2005,24
Spain,Euro Shopping Channel,Large,2005,Motorcycles,Motorcycles,5/13/2005,$0.01M,10417,$0.01M,"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Euro Shopping Channel,1,Euro Shopping Channel,5/13/2005,Large,May,5,95,Q2,2,66,(91) 555 94 44,28034,S10_1678,2,Q2,,Disputed,EMEA,100,2005,2005,66
Norway,Baane Mini Imports,Medium,2003,Classic Cars,Classic Cars,1/29/2003,$0.01M,10103,$0.01M,Erling Skakkes gate 78,,Stavern,Jonas,Bergulfsen,Baane Mini Imports,1,Baane Mini Imports,1/29/2003,Medium,January,1,214,Q1,11,26,07-98 9555,4110,S10_1949,1,Q1,,Shipped,EMEA,100,2003,2003,26
