Country,CustomerName,DealCategory,Order Year,Products,SalesCategory,OrderDate,Sales (bin),Ordernumber, Sales ,Addressline1,Addressline2,City,Contactfirstname,Contactlastname,Customer,CustomerGroup,CustomerName (copy),Date,DealSize,Month,Month ,Msrp,Order Quarter,Orderlinenumber,OrderQuantity,Phone,Postalcode,Productcode,Quarter,Quarter (Sheet11),State,Status,Territory,UnitPrice,Year,Year (Sheet11),ZeroIfNull-OrderQuantity
US,Menards,Small,2020,Trolleys,Trolleys,08-01-2021,$0.00M,10107," 2,871 ",897 Long Airport Avenue,,NYC,Kwai,Yu,Menards,1,Menards,08-01-2021,Small,January,1,95,Q1,2,30,2125557818,10022,S10_1678,1,Q1,Texas,Shipped,NA,95.7,2020,2020,30
US,IKEA,Small,2020,Cafe furniture,Cafe furniture,28-09-2019,$0.00M,10121," 2,766 ",59 rue de l'Abbaye,,Reims,Paul,Henriot,IKEA,1,IKEA,28-09-2019,Small,September,9,95,Q3,5,34,26.47.1555,51100,S10_1678,3,Q3,Colorado,Shipped,EMEA,81.35,2020,2020,34
US,IKEA,Medium,2020,Wardrobes,Wardrobes,05-09-2021,$0.00M,10134," 3,884 ",27 rue du Colonel Pierre Avia,,Paris,Daniel,Da Cunha,IKEA,1,IKEA,05-09-2021,Medium,September,9,95,Q3,2,41,+33 1 46 62 7555,75508,S10_1678,3,Q3,California,Shipped,EMEA,94.74,2020,2020,41
US,Home Depot,Medium,2020,Sofas & armchairs,Sofas & armchairs,05-10-2021,$0.00M,10145," 3,747 ",78934 Hillside Dr.,,Pasadena,Julie,Young,Home Depot,1,Home Depot,05-10-2021,Medium,October,10,95,Q4,6,45,6265557265,90003,S10_1678,4,Q4,Illinois,Shipped,NA,83.26,2020,2020,45
US,IKEA,Medium,2020,Wardrobes,Wardrobes,16-06-2021,$0.01M,10159," 4,900 ",7734 Strong St.,,San Francisco,Julie,Brown,IKEA,1,IKEA,16-06-2021,Medium,June,6,95,Q2,14,49,6505551386,,S10_1678,2,Q2,Washington,Shipped,NA,100,2020,2020,49
US,IKEA,Medium,2020,Cafe furniture,Cafe furniture,01-07-2021,$0.00M,10168," 3,480 ",9408 Furth Circle,,Burlingame,Juri,Hirano,IKEA,1,IKEA,01-07-2021,Medium,July,7,95,Q3,1,36,6505556809,94217,S10_1678,3,Q3,Georgia,Shipped,NA,96.66,2020,2020,36
US,Home Depot,Small,2021,Clocks,Clocks,13-03-2020,$0.00M,10180," 2,498 ","184, chausse de Tournai",,Lille,Martine,Rance,Home Depot,1,Home Depot,13-03-2020,Small,March,3,95,Q1,9,29,20.16.1555,59000,S10_1678,1,Q1,Arizona,Shipped,EMEA,86.13,2021,2021,29
US,Walmart,Medium,2020,Cafe furniture,Cafe furniture,17-07-2021,$0.01M,10188," 4,800 ","Drammen 121, PR 744 Sentrum",,Bergen,Veysel,Oeztan,Walmart,1,Walmart,17-07-2021,Medium,July,7,95,Q3,1,48,+47 2267 3215,N 5804,S10_1678,3,Q3,Georgia,Shipped,EMEA,100,2020,2020,48
US,IKEA,Small,2019,Beds,Beds,06-09-2019,$0.00M,10201," 2,169 ",5557 North Pendale Street,,San Francisco,Julie,Murphy,IKEA,1,IKEA,06-09-2019,Small,September,9,95,Q3,2,22,6505555787,,S10_1678,3,Q3,New York,Shipped,NA,98.57,2019,2019,22
US,IKEA,Medium,2019,"Sideboards, buffets & console tables","Sideboards, buffets & console tables",10-10-2021,$0.00M,10211," 4,100 ","25, rue Lauriston",,Paris,Dominique,Perrier,IKEA,1,IKEA,10-10-2021,Medium,October,10,95,Q4,14,41,(1) 47.55.6555,75016,S10_1678,4,Q4,Arizona,Shipped,EMEA,100,2019,2019,41
US,Home Depot,Medium,2019,"Sideboards, buffets & console tables","Sideboards, buffets & console tables",07-03-2019,$0.00M,10223," 3,700 ",636 St Kilda Road,Level 3,Melbourne,Peter,Ferguson,Home Depot,1,Home Depot,07-03-2019,Medium,March,3,95,Q1,1,37,03 9520 4555,3004,S10_1678,1,Q1,Massachusetts,Shipped,APAC,100,2019,2019,37
US,Home Depot,Small,2020,Chests of drawers & drawer units,Chests of drawers & drawer units,27-09-2021,$0.00M,10237," 2,300 ",2678 Kingston Rd.,Suite 101,NYC,Michael,Frick,Home Depot,1,Home Depot,27-09-2021,Small,September,9,95,Q3,7,23,2125551500,10022,S10_1678,3,Q3,Illinois,Shipped,NA,100,2020,2020,23
US,IKEA,Medium,2019,Wardrobes,Wardrobes,25-05-2020,$0.00M,10251," 2,800 ",7476 Moss Rd.,,Newark,William,Brown,IKEA,1,IKEA,25-05-2020,Medium,May,5,95,Q2,2,28,2015559350,94019,S10_1678,2,Q2,Washington,Shipped,NA,100,2019,2019,28
US,IKEA,Medium,2020,Wardrobes,Wardrobes,14-01-2021,$0.00M,10263," 3,400 ",25593 South Bay Ln.,,Bridgewater,Julie,King,IKEA,1,IKEA,14-01-2021,Medium,January,1,95,Q1,2,34,2035552570,97562,S10_1678,1,Q1,Georgia,Shipped,NA,100,2020,2020,34
US,IKEA,Medium,2020,Chests of drawers & drawer units,Chests of drawers & drawer units,04-09-2019,$0.00M,10275," 4,177 ","67, rue des Cinquante Otages",,Nantes,Janine,Labrune,IKEA,1,IKEA,04-09-2019,Medium,September,9,95,Q3,1,45,40.67.8555,44000,S10_1678,3,Q3,New Jersey,Shipped,EMEA,92.83,2020,2020,45
US,Menards,Medium,2019,Cafe furniture,Cafe furniture,04-10-2020,$0.00M,10285," 3,600 ",39323 Spinnaker Dr.,,Cambridge,Marta,Hernandez,Menards,1,Menards,04-10-2020,Medium,October,10,95,Q4,6,36,6175558555,51247,S10_1678,4,Q4,New York,Shipped,NA,100,2019,2019,36
US,Walmart,Small,2019,Nursery furniture,Nursery furniture,01-07-2020,$0.00M,10299," 2,300 ",Keskuskatu 45,,Helsinki,Matti,Karttunen,Walmart,1,Walmart,01-07-2020,Small,July,7,95,Q3,9,23,90-224 8555,21240,S10_1678,3,Q3,Texas,Shipped,EMEA,100,2019,2019,23
US,Menards,Medium,2019,Chests of drawers & drawer units,Chests of drawers & drawer units,13-04-2021,$0.00M,10309," 4,100 ",Erling Skakkes gate 78,,Stavern,Jonas,Bergulfsen,Menards,1,Menards,13-04-2021,Medium,April,4,95,Q2,5,41,07-98 9555,4110,S10_1678,2,Q2,Washington,Shipped,EMEA,100,2019,2019,41
US,Menards,Medium,2021,TV & media furniture,TV & media furniture,10-07-2020,$0.00M,10318," 4,358 ",7586 Pompton St.,,Allentown,Kyung,Yu,Menards,1,Menards,10-07-2020,Medium,July,7,95,Q3,1,46,2155551555,70267,S10_1678,3,Q3,Washington,Shipped,NA,94.74,2021,2021,46
US,Menards,Medium,2020,Room dividers,Room dividers,01-06-2020,$0.00M,10329," 4,200 ",897 Long Airport Avenue,,NYC,Kwai,Yu,Menards,1,Menards,01-06-2020,Medium,June,6,95,Q2,1,42,2125557818,10022,S10_1678,2,Q2,Arizona,Shipped,NA,100,2020,2020,42
US,Home Depot,Large,2020,Nursery furniture,Nursery furniture,04-08-2020,$0.01M,10341," 4,100 ",Geislweg 14,,Salzburg,Georg,Pipps,Home Depot,1,Home Depot,04-08-2020,Large,August,8,95,Q3,9,41,6562-9555,5020,S10_1678,3,Q3,Texas,Shipped,EMEA,100,2020,2020,41
US,Menards,Small,2019,TV & media furniture,TV & media furniture,04-12-2019,$0.00M,10361," 1,451 ","Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,Adrian,Huxley,Menards,1,Menards,04-12-2019,Small,December,12,95,Q4,13,20,+61 2 9495 8555,2067,S10_1678,4,Q4,Florida,Shipped,APAC,72.55,2019,2019,20
US,IKEA,Small,2021,"Sideboards, buffets & console tables","Sideboards, buffets & console tables",29-04-2020,$0.00M,10375, 733 ,"67, rue des Cinquante Otages",,Nantes,Janine,Labrune,IKEA,1,IKEA,29-04-2020,Small,April,4,95,Q2,12,21,40.67.8555,44000,S10_1678,2,Q2,New York,Shipped,EMEA,34.91,2021,2021,21
US,Walmart,Medium,2020,Chairs,Chairs,25-02-2021,$0.00M,10388," 3,207 ",1785 First Street,,New Bedford,Violeta,Benitez,Walmart,1,Walmart,25-02-2021,Medium,February,2,95,Q1,4,42,5085552555,50553,S10_1678,1,Q1,Pennsylvania,Shipped,NA,76.36,2020,2020,42
US,Menards,Small,2020,Outdoor furniture,Outdoor furniture,17-04-2021,$0.00M,10403," 2,400 ",Berkeley Gardens 12  Brewery,,Liverpool,Elizabeth,Devon,Menards,1,Menards,17-04-2021,Small,April,4,95,Q2,7,24,(171) 555-2282,WX1 6LT,S10_1678,2,Q2,Washington,Shipped,EMEA,100,2020,2020,24
US,Menards,Large,2019,Trolleys,Trolleys,30-10-2020,$0.01M,10417," 6,600 ","C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Menards,1,Menards,30-10-2020,Large,October,10,95,Q4,2,66,(91) 555 94 44,28034,S10_1678,4,Q4,Florida,Disputed,EMEA,100,2019,2019,66
US,Home Depot,Medium,2021,Bookcases & shelving units,Bookcases & shelving units,28-02-2021,$0.01M,10103," 2,600 ",Erling Skakkes gate 78,,Stavern,Jonas,Bergulfsen,Home Depot,1,Home Depot,28-02-2021,Medium,February,2,214,Q1,11,26,07-98 9555,4110,S10_1949,1,Q1,Massachusetts,Shipped,EMEA,100,2021,2021,26
