Addressline1,Addressline2,City,Contactfirstname,Contactlastname,Country,Customer,CustomerName,CustomerName (copy),Date,DealCategory,DealSize,Month,Month ,Order Quarter,Order Year,OrderDate,Phone,Postalcode,Productcode,Products,Quarter,Quarter (Sheet11),Sales (bin),SalesCategory,State,Status,Territory,Year,Year (Sheet11),CustomerGroup,Msrp,Orderlinenumber,Ordernumber,OrderQuantity,Sales,UnitPrice,ZeroIfNull-OrderQuantity
897 Long Airport Avenue,,NYC,Kwai,Yu,US,Land of Toys Inc.,Land of Toys Inc.,Land of Toys Inc.,24-02-2003,Small,Small,February,2,Q1,2003,24-02-2003,2125557818,10022,S10_1678,Motorcycles,1,Q1,$0.00M,Motorcycles,NY,Shipped,NA,2003,2003,1,95,2,10107,30,$0.00M,95.7,30
59 rue de l'Abbaye,,Reims,Paul,Henriot,France,Reims Collectables,Reims Collectables,Reims Collectables,07-05-2003,Small,Small,May,5,Q2,2003,07-05-2003,26.47.1555,51100,S10_1678,Motorcycles,2,Q2,$0.00M,Motorcycles,,Shipped,EMEA,2003,2003,1,95,5,10121,34,$0.00M,81.35,34
27 rue du Colonel Pierre Avia,,Paris,Daniel,Da Cunha,France,Lyon Souveniers,Lyon Souveniers,Lyon Souveniers,01-07-2003,Medium,Medium,July,7,Q3,2003,01-07-2003,+33 1 46 62 7555,75508,S10_1678,Motorcycles,3,Q3,$0.00M,Motorcycles,,Shipped,EMEA,2003,2003,1,95,2,10134,41,$0.00M,94.74,41
78934 Hillside Dr.,,Pasadena,Julie,Young,US,Toys4GrownUps.com,Toys4GrownUps.com,Toys4GrownUps.com,25-08-2003,Medium,Medium,August,8,Q3,2003,25-08-2003,6265557265,90003,S10_1678,Motorcycles,3,Q3,$0.00M,Motorcycles,CA,Shipped,NA,2003,2003,1,95,6,10145,45,$0.00M,83.26,45
7734 Strong St.,,San Francisco,Julie,Brown,US,Corporate Gift Ideas Co.,Corporate Gift Ideas Co.,Corporate Gift Ideas Co.,10-10-2003,Medium,Medium,October,10,Q4,2003,10-10-2003,6505551386,,S10_1678,Motorcycles,4,Q4,$0.01M,Motorcycles,CA,Shipped,NA,2003,2003,1,95,14,10159,49,$0.01M,100,49
9408 Furth Circle,,Burlingame,Juri,Hirano,US,Technics Stores Inc.,Technics Stores Inc.,Technics Stores Inc.,28-10-2003,Medium,Medium,October,10,Q4,2003,28-10-2003,6505556809,94217,S10_1678,Motorcycles,4,Q4,$0.00M,Motorcycles,CA,Shipped,NA,2003,2003,1,95,1,10168,36,$0.00M,96.66,36
"184, chausse de Tournai",,Lille,Martine,Rance,France,Daedalus Designs Imports,Daedalus Designs Imports,Daedalus Designs Imports,11-11-2003,Small,Small,November,11,Q4,2003,11-11-2003,20.16.1555,59000,S10_1678,Motorcycles,4,Q4,$0.00M,Motorcycles,,Shipped,EMEA,2003,2003,1,95,9,10180,29,$0.00M,86.13,29
"Drammen 121, PR 744 Sentrum",,Bergen,Veysel,Oeztan,Norway,Herkku Gifts,Herkku Gifts,Herkku Gifts,18-11-2003,Medium,Medium,November,11,Q4,2003,18-11-2003,+47 2267 3215,N 5804,S10_1678,Motorcycles,4,Q4,$0.01M,Motorcycles,,Shipped,EMEA,2003,2003,1,95,1,10188,48,$0.01M,100,48
5557 North Pendale Street,,San Francisco,Julie,Murphy,US,Mini Wheels Co.,Mini Wheels Co.,Mini Wheels Co.,01-12-2003,Small,Small,December,12,Q4,2003,01-12-2003,6505555787,,S10_1678,Motorcycles,4,Q4,$0.00M,Motorcycles,CA,Shipped,NA,2003,2003,1,95,2,10201,22,$0.00M,98.57,22
"25, rue Lauriston",,Paris,Dominique,Perrier,France,Auto Canal Petit,Auto Canal Petit,Auto Canal Petit,15-01-2004,Medium,Medium,January,1,Q1,2004,15-01-2004,(1) 47.55.6555,75016,S10_1678,Motorcycles,1,Q1,$0.00M,Motorcycles,,Shipped,EMEA,2004,2004,1,95,14,10211,41,$0.00M,100,41
